time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,month,day,year,tavg_lag1,prcp_lag1,wpgt_lag3
2022-10-18,0.09442983286021632,20.9,27.2,-0.20530867465337585,0.0,0.0,8.5,-0.5864305639159401,1016.8,-2.6258291643543115,10,18,2022,0.21128161152004418,-0.20530867465337585,-0.5864305639159401
2022-10-19,0.16120227780868945,21.0,28.0,-0.20530867465337585,0.0,0.0,6.9,-0.9797821139399764,1014.8,-2.8583434376774206,10,19,2022,0.09442983286021632,-0.20530867465337585,0.9455702098618862
2022-10-20,0.14450916657157103,21.0,28.0,-0.20530867465337585,0.0,0.0,12.1,-0.21378172705106396,1014.4,-2.891559762437865,10,20,2022,0.16120227780868945,-0.20530867465337585,0.9455702098618862
2022-10-21,0.06104361038598004,20.0,27.6,-0.20530867465337585,0.0,0.0,11.3,-0.21378172705106396,1014.9,-2.974600574338975,10,21,2022,0.14450916657157103,-0.20530867465337585,-0.5864305639159401
2022-10-22,0.027657387911743755,20.0,27.1,-0.20530867465337585,0.0,0.0,9.4,-0.9797821139399764,1017.4,-3.1074658733807516,10,22,2022,0.06104361038598004,-0.20530867465337585,-0.9797821139399764
2022-10-23,-0.055808168273847235,20.0,27.5,0.5987453817297194,0.0,0.0,11.5,-0.5864305639159401,1018.8,-3.6887515566885245,10,23,2022,0.027657387911743755,-0.20530867465337585,-0.21378172705106396
2022-10-24,-0.07250127951096567,20.0,26.3,-0.20530867465337585,0.0,0.0,14.9,0.9455702098618862,1017.6,-3.8216168557303014,10,24,2022,-0.055808168273847235,0.5987453817297194,-0.21378172705106396
2022-10-25,-0.3729772817790928,16.0,25.1,9.845367030135314,0.0,0.0,10.1,0.17956982297297377,1014.1,-5.6983392046953965,10,25,2022,-0.07250127951096567,-0.20530867465337585,-0.9797821139399764
2022-10-26,-0.0391150570367288,16.0,27.0,8.237258917369125,0.0,0.0,8.6,-1.3524309508048533,1015.4,-5.050620871866736,10,26,2022,-0.3729772817790928,9.845367030135314,-0.5864305639159401
2022-10-27,0.07773672162309847,20.0,28.0,-0.20530867465337585,0.0,0.0,9.7,0.17956982297297377,1017.7,-4.585592325220517,10,27,2022,-0.0391150570367288,8.237258917369125,0.9455702098618862
2022-10-28,0.07773672162309847,20.9,28.0,-0.20530867465337585,0.0,0.0,12.1,0.5522186598378499,1016.7,-4.535767838079851,10,28,2022,0.07773672162309847,-0.20530867465337585,0.17956982297297377
2022-10-29,-0.08919439074808351,17.9,27.0,-0.20530867465337585,0.0,0.0,11.1,-0.21378172705106396,1014.8,-3.8880495052511894,10,29,2022,0.07773672162309847,-0.20530867465337585,-1.3524309508048533
2022-10-30,-0.12258061322231979,19.9,26.3,-0.20530867465337585,0.0,0.0,9.3,-0.9797821139399764,1015.0,-4.120563778574299,10,30,2022,-0.08919439074808351,-0.20530867465337585,0.17956982297297377
2022-10-31,-0.0391150570367288,19.0,27.0,-0.20530867465337585,0.0,0.0,6.0,-0.9797821139399764,1015.8,-3.0908577110005298,10,31,2022,-0.12258061322231979,-0.20530867465337585,0.5522186598378499
2022-11-01,-0.18935305817079295,19.0,26.0,-0.20530867465337585,0.0,0.0,6.3,-0.9797821139399764,1017.0,-3.0742495486203074,11,1,2022,-0.0391150570367288,-0.20530867465337585,-0.21378172705106396
2022-11-02,-0.32289794806773864,18.0,25.0,-0.20530867465337585,0.0,0.0,7.9,-0.21378172705106396,1017.7,-2.8251271129169764,11,2,2022,-0.18935305817079295,-0.20530867465337585,-0.9797821139399764
2022-11-03,-0.2561255031192655,18.0,26.0,-0.20530867465337585,0.0,0.0,7.1,-0.9797821139399764,1017.8,-3.0410332238598636,11,3,2022,-0.32289794806773864,-0.20530867465337585,-0.9797821139399764
